id,title,authors,year,journal,current_doi,current_pubmed,current_abstract,current_fullTextUrl,manual_doi,manual_pubmed,manual_abstract,manual_fullTextUrl,manual_keywords,note
paper_001,感染性发热临床检验路径专家共识,"Wu, Wenjuan (Wu W.);Li, Min (Li M.);Guo, Wei (Guo W.)",2026,Chinese Journal of Laboratory Medicine,,,,,,,,,,
paper_002,构建感染性发热的多维度全景式临床检验新范式,"Wu, Wenjuan (Wu W.)",2026,Chinese Journal of Laboratory Medicine,,,,,,,,,,
paper_006,Gut-X axis.,"Lin X (Lin, Xu);Yu Z (Yu, Zuxiang);Liu Y (Liu, Yang);Li C (Li, Changzhou);Hu H (Hu, Hui);Hu JC (Hu, Jia-Chun);Liu M (Liu, Mian);Yang Q (Yang, Qin);Gu P (Gu, Peng);Li J (Li, Jiaxin);Nandakumar KS (Nandakumar, Kutty Selva);Hu G (Hu, Gaofei);Zhang Q (Zhang, Qi);Chen X (Chen, Xinyu);Ma H (Ma, Huihui);Huang W (Huang, Wenye);Wang G (Wang, Gaofeng);Wang Y (Wang, Yan);Huang L (Huang, Liping);Wu W (Wu, Wenjuan);Liu NN (Liu, Ning-Ning);Zhang C (Zhang, Chenhong);Liu X (Liu, Xingyin);Zheng L (Zheng, Leming);Chen P (Chen, Peng)",2025,iMeta,,,,,,,,,,
paper_010,人类呼吸道微生物组及检测技术进展,吴文娟;田文杰,2024,内科理论与实践,,,,,,,,,,
paper_011,A Machine learning model for predicting sepsis based on an optimized assay for microbial cell-free DNA sequencing,"Wang, LL (Wang, Lili);Tian, WJ (Tian, Wenjie);Zhang, WJ (Zhang, Weijun);Wen, DH (Wen, Donghua);Yang, SM (Yang, Simin);Wang, JC (Wang, Jichao);Han, X (Han, Xu);Wang, J (Wang, Jun);Ding, WC (Ding, Wenchao);Wang, LH (Wang, Lihui);Yu, YT (Yu, Yuetian);Wu, WJ (Wu, Wenjuan)",2024,CLINICA CHIMICA ACTA,10.1016/j.cca.2024.119716,,,https://api.elsevier.com/content/article/PII:S0009898124019673?httpAccept=text/xml,,,,,,
paper_014,Alteration of the gut microbiota changes during the one-year Antarctic deployment in a group of Chinese Han population,"Wang, LL (Wang, Lili);Gan, D (Gan, Di);Guo, WZ (Guo, Wenzheng);Zhu, YX (Zhu, Yunxia);Zhang, M (Zhang, Min);Zhou, AP (Zhou, Aiping);Chen, GT (Chen, Guoting);Wu, WJ (Wu, Wenjuan)",2024,BMC MICROBIOLOGY,10.1186/s12866-024-03569-x,,,https://link.springer.com/content/pdf/10.1186/s12866-024-03569-x.pdf,,,,,,
paper_018,2017-2021年中国华东地区临床分离侵袭性感染热带念珠菌耐药状况分析,万菲菲;张旻;郭建;吴文娟,2023,中华预防医学杂志,,,,,,,,,,
paper_019,5种新型冠状病毒核酸检测试剂应用于DXcellenceTM全自动核酸检测分析系统的性能评估,轩乾坤;吴文娟,2023,临床检验杂志,,,,,,,,,,
paper_020,新时代临床微生物学学科发展方向,吴文娟,2023,国际检验医学杂志,,,,,,,,,,
paper_021,阴道微生物组与HPV感染和宫颈病变的相关性研究进展,纪凌云;吴晶;周旸;吴文娟,2023,微生物与感染,,,,,,,,,,
paper_023,Editorial: New insights into the role of mycobiome in diseases,"Wu, WJ (Wu, Wenjuan);Ding, J (Ding, Jun);Zheng, XQ (Zheng, Xiaoqi);Wang, H (Wang, Hui);Liu, NN (Liu, Ning-Ning)",2023,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,10.3389/fcimb.2023.1240657,37457964,,https://www.frontiersin.org/articles/10.3389/fcimb.2023.1240657/full,,,,,,
paper_025,Detection of pathogens and antimicrobial resistance genes directly from urine samples in patients suspected of urinary tract infection by metagenomics nanopore sequencing: A large-scale multi-centre study,"Liu, MJ (Liu, Manjiao);Yang, SM (Yang, Simin);Wu, SS (Wu, Susheng);Chen, L (Chen, Li);Li, S (Li, Shan);Li, ZZ (Li, Zhenzhong);Zhou, MZ (Zhou, Mingzhe);Wang, LL (Wang, Lili);Xu, H (Xu, Hui);Liu, RY (Liu, Ryon);Fang, Y (Fang, Yi);Huang, WC (Huang, Weichun);Zhang, M (Zhang, Min);Guo, WZ (Guo, Wenzheng);Dai, Y (Dai, Yan);Ren, Y (Ren, Yong);Guo, H (Guo, Hao);Wu, WJ (Wu, Wenjuan)",2023,CLINICAL AND TRANSLATIONAL MEDICINE,10.1002/ctm2.824,37186513,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ctm2.824,,,,,,
paper_027,In vitro antifungal susceptibility profile and genotypic characterization of clinical Aspergillus isolates in Eastern China on behalf of Eastern China Invasive Fungi Infection Group,"Lin, Huiping (Lin H.);Guo, Jian (Guo J.);Li, Yueting (Li Y.);Xiao, Chenlu (Xiao C.);Hu, Liang (Hu L.);Chen, Hui (Chen H.);Lu, Xiuhai (Lu X.);Wu, Wenjuan (Wu W.)",2023,Medical Mycology,10.1093/mmy/myad082,,,https://academic.oup.com/mmy/advance-article-pdf/doi/10.1093/mmy/myad082/51112196/myad082.pdf,,,,,,
paper_028,新型冠状病毒肺炎大型方舱医院感染预防控制风险管理探索,吴文娟;张祎博;陈尔真,2022,中华预防医学杂志,,,,,,,,,,
paper_029,干燥奈瑟菌引起的心内膜炎1例并文献复习,郭建;吴文娟,2022,中国感染与化疗杂志,,,,,,,,,,
paper_030,病原宏基因组高通量测序医疗机构本地化质量评价联合研究,刘东来;张栋;韩东升;艾静文;关文达;胡晋君;李曼郁;周海卫;王佑春;吴文娟;许四宏,2022,中国食品药品监管,,,,,,,,,,
paper_036,血浆微生物游离DNA宏基因组下一代测序在感染性疾病中的研究进展,王莉莉;吴文娟,2021,临床检验杂志,,,,,,,,,,
paper_037,2019年上海市东方医院细菌耐药性监测,钟霓;郭建;慎慧;张旻;王莉莉;吴文娟,2021,中国临床药理学杂志,,,,,,,,,,
paper_038,肺炎克雷伯菌整合子携带情况及与毒力基因和耐药性的关系,宋国滨;王刚;黄颖;吴文娟;徐元宏,2021,中华医院感染学杂志,,,,,,,,,,
paper_039,亚抑菌浓度抗生素对高毒力肺炎克雷伯菌毒力基因表达的影响,宋国滨;王刚;黄颖;吴文娟;徐元宏,2021,安徽医科大学学报,,,,,,,,,,
paper_045,Prevalence and Antifungal Susceptibility of Candida parapsilosis Species Complex in Eastern China: A 15-Year Retrospective Study by ECIFIG,"Guo, J (Guo, Jian);Zhang, M (Zhang, Min);Qiao, D (Qiao, Dan);Shen, H (Shen, Hui);Wang, LL (Wang, Lili);Wang, DJ (Wang, Dongjiang);Li, L (Li, Li);Liu, Y (Liu, Yun);Lu, HW (Lu, Huaiwei);Wang, C (Wang, Chun);Ding, H (Ding, Hui);Zhou, SP (Zhou, Shuping);Zhou, WQ (Zhou, Wanqing);Wei, YJ (Wei, Yingjue);Zhang, HM (Zhang, Haomin);Xi, W (Xi, Wei);Zheng, Y (Zheng, Yi);Wang, YL (Wang, Yueling);Tang, R (Tang, Rong);Zeng, LB (Zeng, Lingbing);Xu, HP (Xu, Heping);Wu, WJ (Wu, Wenjuan)",2021,FRONTIERS IN MICROBIOLOGY,10.3389/fmicb.2021.644000,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.644000/full,,,,,,
paper_048,肝胆胰外科手术单病种临床用血分析,赵晓明;朱驰;于思远;杨冀;吴文娟,2020,临床血液学杂志（输血与检验版）,,,,,,,,,,
paper_049,RT-PCR快速检测产KPC型碳青霉烯酶肺炎克雷伯菌临床应用评价,何丽华;倪丽君;杨思敏;羽晓瑜;周爱萍;胡靓;郭建;吴文娟,2020,检验医学,,,,,,,,,,
paper_050,COVID-19方舱医院医学检验科建设和管理初探,于思远;吴文娟,2020,检验医学,,,,,,,,,,
paper_051,曲霉IgG抗体的生物参考区间建立,钟霓;郭建;慎慧;张旻;王莉莉;郭文正;王东江;吴文娟,2020,中华临床实验室管理电子杂志,,,,,,,,,,
paper_052,不同基质辅助激光解吸电离飞行时间质谱系统对链球菌鉴定性能的比较,胡靓;张旻;刘冬梅;吴文娟,2020,国际检验医学杂志,,,,,,,,,,
paper_053,新冠肺炎疫情期间方舱医院院内感染管理探讨,吴文娟;何丽华;刘波;王莉;雷撼;向准,2020,中华医院管理杂志,,,,,,,,,,
paper_054,从重大突发公共卫生事件看医院检验科在国家公共卫生体系建设中的定位与作用,"Wu, Wenjuan (Wu W.);Li, Min (Li M.);Tang, Yiwei (Tang Y.);Li, Dong (Li D.);Guan, Ming (Guan M.)",2020,Chinese Journal of Laboratory Medicine,,,,,,,,,,
paper_055,Whole-Genome Comparative and Pathogenicity Analysis ofSalmonella entericasubsp.entericaSerovar Rissen,"Zhou, AP (Zhou, Aiping);Li, J (Li, Jun);Xu, ZH (Xu, Zhihong);Ni, JJ (Ni, Jinjing);Guo, J (Guo, Jian);Yao, YF (Yao, Yu-Feng);Wu, WJ (Wu, Wenjuan)",2020,G3-GENES GENOMES GENETICS,10.1534/g3.120.401201,,,http://academic.oup.com/g3journal/article-pdf/10/7/2159/37212522/g3journal2159.pdf,,,,,,
paper_059,"Neutrophil-to-lymphocyte ratio predicts the clearance of SARS-CoV-2 RNA in mild COVID-19 patients - A retrospective analysis from Dongxihu Fangcang Hospital in Wuhan, China","Zhu, Chi (Zhu C.);Yu, Siyuan (Yu S.);Zhao, Huangwei (Zhao H.);Shen, Hui (Shen H.);Yang, Ji (Yang J.);Zhao, Liming (Zhao L.);Wu, Wenjuan (Wu W.)",2020,Clinical Chemistry and Laboratory Medicine,10.1515/cclm-2020-0733,32609644,,https://www.degruyter.com/view/journals/cclm/58/9/article-pe167.xml,,,,,,
paper_062,上海地区临床分离念珠菌的耐药性监测,慎慧;郭建;张旻;孔雯娜;肖晶晶;吴文娟;刘云;陈险峰;谢潋滟;汤荣;董郭平;李莉;孙燕;李敏;徐阳飏;张静华;黄声雷;奚卫;蔡金凤;陈祝俊;李丽;秦惠宏;舒文;曹文俊;王爱敏;卫颖珏;黄卫春;张雯雁;赵虎;袁轶群;沈振华;房华,2019,中国感染与化疗杂志,,,,,,,,,,
paper_063,白念珠菌环介导等温扩增法的建立及其应用价值,肖晶晶;王丽娟;孔继烈;方雪恩;吴文娟,2019,临床检验杂志,,,,,,,,,,
paper_064,白念珠菌唑类药物耐药机制研究进展,纪凌云;周爱萍;马俊;金宁;谭光坤;吴文娟,2019,中国感染与化疗杂志,,,,,,,,,,
paper_065,智能化微生物实验室信息系统移动终端和PC终端的设计与应用,郭建;乔丹;董争华;王东江;何丽华;倪丽君;吕莉;吴文娟,2019,检验医学,,,,,,,,,,
paper_068,感染性疾病现场快速检验技术的现状与未来,吴文娟,2018,中华检验医学杂志,,,,,,,,,,
paper_073,长梗木霉感染引起的腹膜炎1例报道,郭建;何丽华;倪丽君;吕莉;邓淑文;吴文娟,2017,检验医学,,,,,,,,,,
paper_074,尿路感染患者泌尿系统分离菌株中非白念珠菌的分布及其耐药性研究,郭建;何丽华;倪丽君;吕莉;吴文娟,2016,诊断学理论与实践,,,,,,,,,,
paper_075,探索侵袭性真菌病预测诊断和个体化治疗之路,吴文娟,2016,诊断学理论与实践,,,,,,,,,,
paper_076,结核分枝杆菌Rv1273 c-Rv1272 c转运功能的初步研究,周爱萍;徐志弘;姚玉峰;吴文娟,2016,中华微生物学和免疫学杂志,,,,,,,,,,
paper_077,A novel bio-microcircuit for bio-assays,"Fang, Xueen (Fang X.);Cao, Hongmei (Cao H.);Wu, Wenjuan (Wu W.);Kong, Jilie (Kong J.)",2016,RSC Advances,10.1039/c6ra12604a,,,http://pubs.rsc.org/en/content/articlepdf/2016/RA/C6RA12604A,,,,,,
